participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,3,chair,duck,tree,truck,leaf,flower,dog,bicycle,hand,3,1,6.2215,,0,0,0,4,1,tree,inanim_natural
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,5,flower,hand,leaf,truck,dog,tree,bicycle,duck,chair,5,1,1.9963,,0,1,1,2,1,dog,anim_natural
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,9,truck,leaf,chair,dog,flower,duck,tree,bicycle,hand,9,1,6.6367,,0,2,2,0,1,hand,anim_natural
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,5,duck,truck,leaf,dog,flower,chair,tree,bicycle,hand,2,0,20.605,,0,3,3,3,1,flower,inanim_natural
66f87be972880bb2ac647855,2025-08-20_16h02.42.690,GLINT,2024.2.4,Win32,59.88023952,9,chair,hand,tree,bicycle,truck,dog,flower,leaf,duck,9,1,6.2541,,0,4,4,1,1,duck,anim_natural
