participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,3,duck,flower,dog,hand,bicycle,tree,chair,truck,leaf,3,1,2.8773,,0,0,0,2,1,dog,anim_natural
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,1,hand,truck,tree,leaf,dog,bicycle,chair,flower,duck,1,1,3.5636,,0,1,1,0,1,hand,anim_natural
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,6,duck,bicycle,dog,tree,leaf,flower,chair,hand,truck,6,1,8.4789,,0,2,2,3,1,flower,inanim_natural
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,2,bicycle,duck,dog,tree,leaf,chair,flower,truck,hand,2,1,2.3713,,0,3,3,1,1,duck,anim_natural
66f87be972880bb2ac647855,2025-08-20_16h07.16.564,GLINT,2024.2.4,Win32,59.88023952,3,hand,chair,tree,leaf,truck,duck,dog,bicycle,flower,3,1,2.3128,,0,4,4,4,1,tree,inanim_natural
