participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,7,dog,duck,leaf,chair,bicycle,tree,hand,flower,truck,7,1,3.123,,0,0,0,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,7,truck,duck,chair,bicycle,hand,flower,tree,dog,leaf,7,1,1.818,,0,1,1,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,1,dog,leaf,chair,duck,truck,flower,tree,hand,bicycle,1,1,1.401,,0,2,2,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,6,chair,duck,tree,hand,truck,flower,bicycle,dog,leaf,6,1,3.152,,0,3,3,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,5,dog,bicycle,tree,leaf,duck,flower,truck,chair,hand,5,1,1.169,,0,4,4,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
677c4861d510515568796dab,2025-08-20_14h34.33.822,GLINT,2024.2.4,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,airplane,inanim_artificial,6,apple,binoculars,cat,avocado,lawnmower,airplane,cow,snail,bread,6,1,2.041,,airplane,inanim_artificial,1,line_drawing,0,0,0,12,1
