participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,1,dog,tree,chair,leaf,flower,truck,duck,bicycle,hand,1,1,1.4111,,0,0,0,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,1,flower,truck,chair,bicycle,duck,leaf,hand,dog,tree,1,1,4.658,,0,1,1,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,9,hand,truck,chair,bicycle,flower,leaf,dog,tree,duck,9,1,3.3564,,0,2,2,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,3,dog,hand,tree,bicycle,flower,leaf,truck,chair,duck,3,1,2.6705,,0,3,3,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,9,duck,leaf,dog,truck,tree,flower,chair,bicycle,hand,9,1,3.2054,,0,4,4,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
64e36d981d00e7d7c45addc2,2025-08-20_12h41.22.900,GLINT,2024.2.4,MacIntel,30.48780488,,,,,,,,,,,,,,,,,,,,butterfly,anim_natural,7,airplane,cat,lawnmower,cow,pineapple,binoculars,butterfly,mushroom,apple,7,1,1.8321,,butterfly,anim_natural,1,line_drawing,0,0,0,1,1
