participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,3,hand,leaf,flower,chair,tree,bicycle,truck,duck,dog,4,0,5.9647,,0,0,0,3,1,flower,inanim_natural
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,7,bicycle,flower,truck,chair,dog,leaf,duck,hand,tree,7,1,3.0356,,0,1,1,1,1,duck,anim_natural
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,8,duck,tree,bicycle,leaf,flower,chair,dog,hand,truck,8,1,2.746,,0,2,2,0,1,hand,anim_natural
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,6,bicycle,dog,chair,hand,truck,tree,leaf,flower,duck,6,1,2.25,,0,3,3,4,1,tree,inanim_natural
66298b9925888b2e93c3d3de,2025-08-20_15h02.53.243,GLINT,2024.2.4,Win32,59.88023952,1,dog,truck,bicycle,leaf,flower,tree,chair,hand,duck,1,1,3.2498,,0,4,4,2,1,dog,anim_natural
